poiID,poiCat,poiLon,poiLat
1,Transport,-4.258101169014088,55.85792013480796
2,Transport,-4.250727638646297,55.861495672488964
4,Transport,-4.595632,55.509388
5,Transport,-4.331517,55.868896500000005
6,Transport,-4.269904625000001,55.85613520833331
7,Education,-4.242159871999993,55.861145432
8,Education,-4.249761639639642,55.86707233333342
9,Education,-4.285801843195263,55.872184307692386
10,Education,-4.288902204592891,55.871993964508796
11,Education,-4.264269125992071,55.866234078372784
12,Education,-4.25708622437137,55.86211197872341
13,Religion,-4.2344129376146915,55.86270032844042
14,Religion,-4.250646,55.853465421052626
15,Shopping,-4.292544210306379,55.87441117270186
16,Shopping,-4.255375836084915,55.86053728183968
17,Museum,-4.30770575,55.830818249999986
18,Park,-4.2056362195121935,55.849497292682905
19,Structure,-4.288323547169811,55.85990364420503
20,Structure,-4.25317754353561,55.86441777836411
21,Museum,-4.25158601294498,55.859934364077695
22,Park,-4.238215758620696,55.85119285775855
24,Structure,-4.309061802631581,55.853225565789465
25,Museum,-4.294561920863311,55.86907381294964
26,Museum,-4.290447339401815,55.86847013524039
27,Structure,-4.317774888888886,55.82766903030305
28,Structure,-4.261300118451011,55.864777521639816
29,Structure,-4.268838855855862,55.86140168468457
