poiID,poiCat,poiLon,poiLat
2,Transport,139.767254,35.669687
3,Shop,139.7673153877,35.6680876289
4,Store,139.7667561,35.66833822
5,Transport,139.7730182486,35.6985961953
6,Restaurant,139.770555,35.700941
7,Store,139.7712931037,35.7012807177
8,Store,139.7746217251,35.699015417
9,Entertainment,139.7706520557,35.7009322141
10,Restaurant,139.7739055753,35.6992615538
11,Transport,139.7760584402,35.7134117258
12,Transport,139.8269248009,35.645923623
13,Store,139.7915175906,35.6337964666
14,Transport,139.7916135192,35.634409861
15,Shop,139.7942662239,35.6298666784
16,Office,139.7708103061,35.6999716432
17,Store,139.78663036,35.697973
18,Transport,139.7859755158,35.6974661539
19,Restaurant,139.7708713382,35.7008493291
20,Office,139.7723740036,35.6996538356
21,Transport,139.7660815716,35.6813787223
22,Transport,139.7659635544,35.6814876565
23,Transport,139.7636139393,35.6869123937
24,Athletic & Sport,139.7498273849,35.6932037553
25,Store,139.7717517614,35.7004268812
26,Shop,139.7716283798,35.6983271014
27,Store,139.771977067,35.7001872825
28,Transport,139.770963192,35.7277712438
29,Store,139.7718000412,35.7010454779
30,Shop,139.771692,35.700226
31,Transport,139.8356580734,35.6898577189
32,Transport,139.7682152689,35.679939687
33,Restaurant,139.7683553325,35.6801802663
34,Transport,139.7695308924,35.6799930657
35,Transport,139.7002792266,35.6908026942
36,Shop,139.7975599766,35.7144094812
37,Church,139.7967338562,35.714727437
38,Restaurant,139.7973239422,35.7118048089
39,Store,139.797961,35.713022
40,Entertainment,139.7703959048,35.6917899849
41,Shop,139.7705468474,35.699640368
42,Entertainment,139.770389,35.699527
43,Store,139.7713118792,35.7010019149
44,Store,139.7739082575,35.6992593756
45,School,139.7414857149,35.6954169418
46,Store,139.7710168362,35.6988934375
47,Transport,139.754315,35.702002
48,Entertainment,139.7545695305,35.7032061727
49,Restaurant,139.7597198538,35.6962037296
50,Transport,139.758067131,35.6959658722
51,Transport,139.7827541828,35.6921319933
52,Store,139.7710597515,35.6989849222
53,Transport,139.7044975019,35.8640683285
54,Park,139.695483,35.860169
55,Transport,139.6472043675,35.8456761143
56,Transport,139.6732547648,35.5825999944
57,Restaurant,139.69817769,35.660683
58,Office,139.6978569031,35.6578541581
59,Transport,139.7020304203,35.658196312
60,Entertainment,139.697944,35.658788
61,Building,139.7037436813,35.6604153729
62,Entertainment,139.699085,35.657673
63,Restaurant,139.6982845306,35.6590074031
64,Restaurant,139.6980419755,35.6573071448
65,School,139.7000455856,35.6573136828
66,Shop,139.7008424406,35.6555846131
67,Building,139.7191349681,35.6281468972
68,Office,139.7030563935,35.6615120184
69,Restaurant,139.6989646554,35.6580110696
70,Restaurant,139.698422,35.658796
71,Transport,139.7581327377,35.6666920514
72,Shop,139.703002,35.658225
73,Transport,139.7450315952,35.7023087945
74,Restaurant,139.7009575367,35.6585864092
75,Restaurant,139.6994863451,35.6579151793
76,Restaurant,139.698845,35.659434
77,Transport,139.6596515179,35.5757297602
78,Transport,139.6687227488,35.58941466
79,Restaurant,139.6980017424,35.6589127599
80,Restaurant,139.6688461304,35.5890623902
81,Transport,139.6806813328,35.5754243533
82,Shop,139.7635066509,35.6743739383
83,Shop,139.6732099092,35.5826786539
84,Restaurant,139.6767635772,35.5797453641
85,Restaurant,139.69825387,35.658599485
86,Transport,139.7159428441,35.5622003175
87,Athletic & Sport,139.6314292403,35.6394432083
88,Restaurant,139.6976825595,35.6594363349
89,Entertainment,139.68257844,35.69725771
90,Restaurant,139.6979776025,35.6611492348
91,Transport,139.6682453156,35.5897045342
92,Restaurant,139.7014939785,35.6572395851
93,Transport,139.7398710251,35.6387260813
94,Restaurant,139.7019071393,35.5284050118
95,Restaurant,139.6984490712,35.6587692935
96,Restaurant,139.696419239,35.6573747044
97,Restaurant,139.7380817687,35.6724578625
98,Building,139.6687012911,35.5875486202
99,Transport,139.767819643,35.681134709
100,Transport,139.7099483013,35.6468783058
101,Restaurant,139.6687344856,35.5898666019
102,Park,139.6009325981,35.668436276
103,Transport,139.6011391282,35.6682249089
104,Transport,139.5443956554,35.6518891133
105,Restaurant,139.6017855639,35.6667859857
106,Entertainment,139.6021864472,35.6662873063
107,Shop,139.67728,35.68748
108,Transport,139.6822947264,35.6888730513
109,Shop,139.6920096874,35.6932996032
110,Store,139.5729517937,35.680759973
111,Church,139.5850299397,35.6637206767
112,Store,139.629406929,35.6814157599
113,Transport,139.6364646684,35.6797020354
114,Transport,139.6567896009,35.6833547663
115,Shop,139.6992194653,35.6913303407
116,Transport,139.6989512444,35.6886029191
117,Transport,139.7743266821,35.707888929
118,Building,139.7720295354,35.7152740773
119,Church,139.7710892558,35.7121031745
120,Shop,139.620209404,35.6744784633
121,Transport,139.6992516518,35.6897182977
122,Restaurant,139.602071,35.66717
123,Scenic Lookout,139.588682806,35.6923313749
124,Transport,139.5845389366,35.6971377825
125,Scenic Lookout,139.5803788304,35.7034980362
126,Store,139.5815455914,35.7047046846
127,Shop,139.592859149,35.6753261021
128,Restaurant,139.6147567034,35.6716481159
129,Shop,139.613603,35.66906
130,Restaurant,139.5990653523,35.6694321766
131,Transport,139.699562788,35.6889275133
132,Shop,139.701788,35.689624
133,Shop,139.7011184692,35.6910427895
134,Scenic Lookout,139.701094,35.692349
135,Office,139.6868732572,35.6827948558
136,Transport,139.6708524227,35.67544376
137,Store,139.6639028192,35.6737703869
138,Transport,139.6606063843,35.6724979026
139,School,139.6482896805,35.6711208078
140,Church,139.6467983723,35.669673961
141,Shop,139.6262199427,35.6698177175
142,Transport,139.6246164084,35.6706945666
143,Transport,139.6143787221,35.6776520621
144,Shop,139.6187317371,35.6696085908
145,Restaurant,139.6247110516,35.6702176211
146,Transport,139.6234698594,35.6688437554
147,Building,139.6396529675,35.6824192561
148,Restaurant,139.6009668609,35.6685135711
149,Building,139.580279,35.707807
150,Shop,139.5996328117,35.6875071044
151,Restaurant,139.600428,35.66859448
152,Restaurant,139.6572160721,35.6835573789
153,Shop,139.698231365,35.6954233298
154,Shop,139.602042,35.66731
155,Store,139.601274,35.666874
156,Restaurant,139.600592,35.667674
157,Shop,139.6040010452,35.6745722159
158,Store,139.600101,35.672286
159,Park,139.5990228653,35.653983577
160,Store,139.5966088772,35.6473578225
