poiID,poiCat,poiLon,poiLat
5,Transport,139.7730182486,35.6985961953
8,Store,139.7746217251,35.699015417
11,Transport,139.7760584402,35.7134117258
21,Transport,139.7660815716,35.6813787223
28,Transport,139.770963192,35.7277712438
35,Transport,139.7002792266,35.6908026942
59,Transport,139.7020304203,35.658196312
71,Transport,139.7581327377,35.6666920514
77,Transport,139.6596515179,35.5757297602
104,Transport,139.5443956554,35.6518891133
212,Transport,139.56082955,35.7027062994
253,Transport,139.7013260345,35.658521727
260,Transport,139.7404289246,35.6301457297
261,Transport,139.7279191017,35.5884342009
263,Transport,139.7160503268,35.5624778239
284,Transport,139.7109555728,35.7298646365
297,Transport,139.7567421198,35.6556181358
336,Transport,139.7347489277,35.6071430623
351,Transport,139.7208380699,35.7780624397
428,Transport,139.7285527736,35.6196991729
449,Transport,139.6969020367,35.531326929
480,Transport,139.765222,35.699583
603,Transport,139.6657991409,35.7058285501
640,Transport,139.7038972378,35.7129024404
651,Transport,139.747568965,35.6457318132
1,Transport,139.8051452637,35.7496469435
765,Transport,139.7387123108,35.6282272324
875,Transport,139.5799040794,35.7032018165
1005,Transport,139.7380418533,35.6281616973
2151,Transport,139.5075917244,35.6037536336
