userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
10063645@N00,1,17,1168492531,1168492558,3,1,27
10091295@N02,2,1,1190423814,1190423916,4,2,102
10091295@N02,2,12,1190421746,1190421901,3,2,155
10091295@N02,3,28,1190988000,1190988000,1,1,0
10091295@N02,4,10,1191029287,1191029561,5,3,274
10091295@N02,4,17,1191040433,1191041876,3,3,1443
10091295@N02,4,28,1191037444,1191060959,2,3,23515
10091295@N02,5,1,1202516668,1202519120,15,1,2452
10115973@N05,6,18,1356893842,1356893842,1,1,0
10135031@N08,7,18,1276608349,1276608349,1,1,0
10137764@N00,8,3,1338576010,1338576015,2,1,5
10137764@N00,9,3,1338629233,1338657537,90,1,28304
10137764@N00,10,3,1338717763,1338756800,54,1,39037
10137764@N00,11,3,1338802474,1338826889,33,1,24415
10137764@N00,12,3,1338956416,1338956416,1,1,0
10159442@N00,13,1,1160799471,1160800433,7,12,962
10159442@N00,13,4,1160806709,1160809438,5,12,2729
10159442@N00,13,8,1160802950,1160802950,1,12,0
10159442@N00,13,9,1160799011,1160799011,1,12,0
10159442@N00,13,10,1160804614,1160804777,3,12,163
10159442@N00,13,11,1160804352,1160805659,7,12,1307
10159442@N00,13,15,1160801481,1160802410,5,12,929
10159442@N00,13,18,1160800596,1160800611,2,12,15
10159442@N00,13,19,1160803441,1160803571,3,12,130
10159442@N00,13,23,1160803843,1160804154,3,12,311
10159442@N00,13,24,1160807015,1160807443,22,12,428
10159442@N00,13,29,1160799768,1160800019,3,12,251
10159442@N00,14,4,1160879522,1160879597,2,2,75
10159442@N00,14,7,1160891664,1160894039,22,2,2375
10159442@N00,15,3,1246321197,1246321197,1,1,0
10182328@N02,16,17,1187159490,1187159529,2,1,39
10182328@N02,17,17,1187251520,1187251520,1,1,0
10182328@N02,18,24,1187335257,1187335257,1,1,0
10182328@N02,19,17,1187508784,1187508784,1,1,0
10182328@N02,20,3,1187578775,1187578775,1,1,0
10182328@N02,21,17,1187681423,1187682927,4,1,1504
10182328@N02,22,8,1187761363,1187761363,1,1,0
10182328@N02,23,13,1251041605,1251046821,21,1,5216
10182328@N02,24,13,1251298863,1251300306,3,1,1443
10229695@N08,25,23,1219657361,1219657361,1,1,0
10229695@N08,26,18,1331959541,1331959541,1,1,0
10251761@N04,27,1,1204084934,1204085201,2,2,267
10251761@N04,27,9,1204081504,1204081504,1,2,0
10251761@N04,28,1,1204162994,1204162994,1,1,0
10259636@N05,29,3,1344061244,1344061244,1,1,0
10259636@N05,30,10,1352720105,1352720105,1,1,0
10275618@N05,31,9,1262519741,1262519741,1,1,0
10287726@N02,32,2,1375412323,1375412584,2,6,261
10287726@N02,32,3,1375415274,1375415274,1,6,0
10287726@N02,32,8,1375422989,1375425858,14,6,2869
10287726@N02,32,9,1375416929,1375421119,3,6,4190
10287726@N02,32,17,1375406504,1375406504,1,6,0
10287726@N02,32,29,1375415715,1375415715,1,6,0
10287726@N02,33,1,1375497933,1375509475,16,5,11542
10287726@N02,33,3,1375513696,1375513696,1,5,0
10287726@N02,33,17,1375494129,1375497337,5,5,3208
10287726@N02,33,18,1375510509,1375510509,1,5,0
10287726@N02,33,29,1375497686,1375497686,1,5,0
10287726@N02,34,11,1375580312,1375581076,5,3,764
10287726@N02,34,17,1375571537,1375571537,1,3,0
10287726@N02,34,23,1375581641,1375581641,1,3,0
10295204@N00,35,2,1191454870,1191455305,2,1,435
10318705@N00,36,1,1364199840,1364199840,1,1,0
10332960@N03,37,3,1255648016,1255650221,5,2,2205
10332960@N03,37,17,1255647888,1255647888,1,2,0
10332960@N03,38,3,1255701736,1255701851,2,1,115
10332960@N03,39,3,1332744430,1332746606,8,3,2176
10332960@N03,39,9,1332744199,1332744199,1,3,0
10332960@N03,39,17,1332746489,1332746489,1,3,0
10335112@N05,40,15,1249645744,1249645851,2,2,107
10335112@N05,40,18,1249634897,1249634937,2,2,40
10335112@N05,41,1,1249701828,1249712164,24,5,10336
10335112@N05,41,2,1249689707,1249693678,21,5,3971
10335112@N05,41,8,1249713363,1249716559,29,5,3196
10335112@N05,41,15,1249713293,1249713293,1,5,0
10335112@N05,41,29,1249701687,1249712965,3,5,11278
10335112@N05,42,10,1249789047,1249789314,4,3,267
10335112@N05,42,11,1249788596,1249790102,8,3,1506
10335112@N05,42,23,1249788518,1249788562,3,3,44
10340081@N02,43,10,1249048800,1249048800,1,2,0
10340081@N02,43,18,1249048800,1249048800,1,2,0
10340081@N02,44,1,1249604117,1249604117,1,3,0
10340081@N02,44,3,1249608626,1249608956,2,3,330
10340081@N02,44,8,1249605497,1249605497,1,3,0
10352479@N07,45,9,1128195227,1128195374,2,1,147
10354154@N05,46,16,1315296567,1315296567,1,3,0
10354154@N05,46,18,1315296802,1315297866,9,3,1064
10354154@N05,46,29,1315296935,1315296968,6,3,33
103542358@N03,47,3,1342590927,1342590927,1,1,0
103767813@N04,48,18,1379809838,1379809838,1,1,0
10444870@N04,49,12,1365494194,1365494194,1,1,0
10486919@N00,50,17,1321417176,1321417176,1,1,0
10486919@N00,51,22,1321597743,1321597743,1,1,0
10486919@N00,52,9,1322030699,1322030699,1,1,0
10486919@N00,53,29,1325850805,1325850805,1,1,0
10486919@N00,54,29,1327506013,1327506013,1,1,0
10486919@N00,55,29,1327567321,1327567321,1,1,0
10486919@N00,56,29,1330238255,1330238255,1,1,0
10486919@N00,57,17,1332568164,1332568164,1,1,0
10486919@N00,58,19,1344407324,1344407324,1,1,0
10486919@N00,59,29,1344506822,1344506822,1,1,0
10486919@N00,60,8,1345444860,1345444860,1,1,0
10486919@N00,61,27,1346130899,1346130899,1,1,0
10486919@N00,62,29,1347196831,1347196831,1,1,0
10486919@N00,63,11,1347534057,1347534057,1,2,0
10486919@N00,63,17,1347511184,1347511184,1,2,0
10486919@N00,64,23,1347709804,1347709804,1,1,0
10486919@N00,65,29,1350176653,1350176653,1,1,0
10486919@N00,66,29,1350886279,1350886279,1,1,0
10486919@N00,67,9,1350979253,1350979253,1,3,0
10486919@N00,67,15,1350955282,1350955282,1,3,0
10486919@N00,67,28,1350962425,1350962425,1,3,0
10486919@N00,68,1,1351149124,1351149124,1,1,0
10486919@N00,69,5,1352350340,1352350340,1,1,0
10486919@N00,70,11,1353144514,1353144514,1,1,0
10486919@N00,71,15,1354501901,1354501901,1,1,0
10486919@N00,72,15,1354590748,1354590748,1,1,0
105002963@N07,73,3,1380867845,1380867879,2,1,34
105307156@N06,74,1,1375170614,1375170614,1,3,0
105307156@N06,74,2,1375148488,1375148488,1,3,0
105307156@N06,74,7,1375151750,1375151750,1,3,0
105830224@N07,75,17,1381647574,1381647574,1,1,0
10585427@N00,76,29,1362793702,1362793702,1,1,0
10611153@N00,77,8,1161532858,1161532858,1,2,0
10611153@N00,77,9,1161536350,1161536918,2,2,568
10611153@N00,78,1,1161619864,1161623439,3,2,3575
10611153@N00,78,29,1161628774,1161629015,3,2,241
10619879@N00,79,2,1270949593,1270965846,11,1,16253
10619879@N00,80,24,1274504528,1274511041,7,1,6513
