userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
10058801@N06,0,25,1226726126,1226726126,1,1,0
10087938@N02,1,58,1205332532,1205332541,2,2,9
10087938@N02,1,66,1205342722,1205342729,2,2,7
10087938@N02,2,59,1205374109,1205374109,1,1,0
10087938@N02,3,58,1205417265,1205417265,1,1,0
10087938@N02,4,58,1205508764,1205538412,3,2,29648
10087938@N02,4,59,1205512653,1205514882,22,2,2229
10087938@N02,5,59,1205575764,1205595114,4,1,19350
10087938@N02,6,59,1205625724,1205641382,2,1,15658
10087938@N02,7,58,1205812892,1205812892,1,1,0
100895643@N03,8,63,1390881648,1390881648,1,1,0
100895643@N03,9,26,1391604750,1391604752,2,2,2
100895643@N03,9,63,1391604757,1391604761,3,2,4
101884347@N06,10,26,1386888998,1386918382,3,1,29384
101884347@N06,11,50,1386982312,1386982675,6,2,363
101884347@N06,11,71,1386981574,1386982272,7,2,698
10195518@N02,12,44,1180847798,1180847798,1,1,0
10195518@N02,13,22,1187167445,1187172158,2,1,4713
10195518@N02,14,55,1188624755,1188624755,1,6,0
10195518@N02,14,56,1188622886,1188623097,2,6,211
10195518@N02,14,57,1188623870,1188623978,2,6,108
10195518@N02,14,75,1188621562,1188621562,1,6,0
10195518@N02,14,78,1188624626,1188624626,1,6,0
10195518@N02,14,81,1188620918,1188620918,1,6,0
10195518@N02,15,26,1189318797,1189318797,1,1,0
10195518@N02,16,71,1191728406,1191729053,3,1,647
10195518@N02,17,28,1191980375,1191980793,2,1,418
10204545@N02,18,41,1319583950,1319583950,1,1,0
10204545@N02,19,84,1321249118,1321249885,4,1,767
10204545@N02,20,41,1322023815,1322023815,1,1,0
10204545@N02,21,84,1327623667,1327623667,1,1,0
10204545@N02,22,51,1331675460,1331675460,1,1,0
10204545@N02,23,49,1332135762,1332135762,1,1,0
10204545@N02,24,41,1335999097,1335999097,1,1,0
10204545@N02,25,24,1339715328,1339715328,1,1,0
10204545@N02,26,0,1341892052,1341895059,2,1,3007
10204545@N02,27,45,1342248196,1342248196,1,1,0
10204545@N02,28,48,1342313781,1342313781,1,1,0
10204545@N02,29,41,1342747528,1342747528,1,1,0
10204545@N02,30,85,1359928386,1359928386,1,1,0
10204545@N02,31,82,1380497719,1380497719,1,1,0
10204545@N02,32,84,1381220335,1381220335,1,1,0
10204545@N02,33,84,1386809710,1386809710,1,1,0
10271461@N00,34,58,1394710564,1394710564,1,1,0
10284272@N00,35,39,1317878979,1317878979,1,1,0
10286664@N03,36,17,1294700686,1294700686,1,1,0
10357544@N07,37,3,1292897542,1292897542,1,1,0
10357544@N07,38,48,1294538342,1294538342,1,1,0
10357544@N07,39,71,1307754660,1307754660,1,1,0
10368554@N00,40,31,1155547833,1155547833,1,1,0
10368554@N00,41,84,1186242241,1186242241,1,1,0
105106606@N05,42,45,1368084989,1368084989,1,1,0
105106606@N05,43,71,1368327444,1368327444,1,1,0
10512081@N00,44,46,1336215421,1336215421,1,1,0
10512081@N00,45,24,1336354868,1336354868,1,2,0
10512081@N00,45,48,1336355665,1336355665,1,2,0
10512081@N00,46,11,1336562021,1336562021,1,1,0
10559879@N00,47,26,1164702271,1164702271,1,1,0
10559879@N00,48,22,1170035012,1170035012,1,2,0
10559879@N00,48,82,1170036683,1170036807,2,2,124
10559879@N00,49,22,1170211240,1170211240,1,2,0
10559879@N00,49,40,1170206723,1170206723,1,2,0
10559879@N00,50,2,1170311179,1170311179,1,1,0
10559879@N00,51,22,1170401072,1170401072,1,2,0
10559879@N00,51,37,1170409720,1170409720,1,2,0
10559879@N00,52,40,1170545648,1170545648,1,1,0
10559879@N00,53,19,1173921655,1173921679,2,1,24
10559879@N00,54,2,1174040078,1174040078,1,2,0
10559879@N00,54,23,1174044899,1174046905,2,2,2006
10559879@N00,55,19,1174438806,1174439896,3,1,1090
10559879@N00,56,22,1174598479,1174616236,5,1,17757
10559879@N00,57,85,1179477632,1179477632,1,1,0
10559879@N00,58,14,1179888215,1179888229,2,1,14
10559879@N00,59,82,1180664891,1180664956,3,1,65
10559879@N00,60,10,1180742696,1180742716,2,1,20
10559879@N00,61,17,1192171522,1192171522,1,1,0
10559879@N00,62,26,1195722163,1195722196,3,1,33
10559879@N00,63,14,1197533457,1197543567,7,3,10110
10559879@N00,63,17,1197533405,1197533405,1,3,0
10559879@N00,63,40,1197509438,1197511016,4,3,1578
10559879@N00,64,2,1197597660,1197597660,1,4,0
10559879@N00,64,9,1197598202,1197598209,2,4,7
10559879@N00,64,32,1197598316,1197599281,3,4,965
10559879@N00,64,40,1197595510,1197596758,4,4,1248
10559879@N00,65,26,1198364762,1198364762,1,1,0
10559879@N00,66,18,1204350874,1204350891,2,1,17
10559879@N00,67,41,1204612513,1204612513,1,1,0
10559879@N00,68,22,1205380392,1205380412,2,1,20
10559879@N00,69,19,1205568774,1205579960,36,1,11186
10559879@N00,70,19,1205646525,1205646525,1,1,0
10559879@N00,71,22,1205877388,1205890416,3,1,13028
10559879@N00,72,22,1205967504,1205967504,1,1,0
10559879@N00,73,22,1206078994,1206078994,1,1,0
10559879@N00,74,22,1209367493,1209367493,1,1,0
10559879@N00,75,22,1209718443,1209721751,9,1,3308
10559879@N00,76,35,1278571121,1278571121,2,1,0
10559879@N00,77,22,1280465480,1280465480,1,1,0
10559879@N00,78,16,1282597761,1282597841,2,3,80
10559879@N00,78,22,1282599713,1282599713,1,3,0
10559879@N00,78,41,1282599491,1282599540,2,3,49
10559879@N00,79,9,1284104297,1284104297,1,1,0
10559879@N00,80,2,1284672801,1284673247,2,1,446
10559879@N00,81,22,1287647198,1287647198,1,1,0
10559879@N00,82,9,1289279121,1289279121,1,1,0
10559879@N00,83,9,1294160246,1294160246,1,1,0
10559879@N00,84,32,1305860433,1305860433,1,1,0
10559879@N00,85,16,1317955256,1317955256,1,1,0
10559879@N00,86,35,1318909153,1318909153,1,1,0
10559879@N00,87,23,1320722656,1320722656,1,1,0
10559879@N00,88,22,1320970280,1320970280,1,1,0
10559879@N00,89,71,1322599582,1322599582,1,1,0
10559879@N00,90,69,1323829027,1323829087,2,1,60
10559879@N00,91,22,1326772112,1326772112,1,1,0
10559879@N00,92,39,1327300443,1327300443,1,1,0
10559879@N00,93,9,1327339638,1327339653,3,1,15
10559879@N00,94,9,1329278415,1329278415,1,1,0
10559879@N00,95,32,1332390094,1332390094,1,2,0
10559879@N00,95,84,1332390957,1332390957,1,2,0
10559879@N00,96,35,1346643883,1346643883,1,1,0
10559879@N00,97,4,1353893614,1353894443,4,2,829
10559879@N00,97,16,1353893355,1353895578,5,2,2223
10559879@N00,98,22,1355100453,1355100453,1,1,0
10559879@N00,99,46,1359786031,1359786031,1,1,0
10559879@N00,100,82,1369175231,1369175231,1,1,0
10559879@N00,101,84,1369276417,1369276420,2,1,3
10559879@N00,102,32,1369711616,1369711616,1,1,0
10559879@N00,103,22,1369795280,1369795280,1,1,0
10559879@N00,104,25,1371288388,1371288388,1,1,0
10559879@N00,105,22,1372035642,1372035642,1,1,0
10559879@N00,106,9,1372387009,1372387009,1,1,0
10559879@N00,107,2,1372492306,1372497257,5,1,4951
10559879@N00,108,84,1373541850,1373541850,1,1,0
10559879@N00,109,9,1373853082,1373853117,2,1,35
10559879@N00,110,9,1374063429,1374063429,1,1,0
10559879@N00,111,22,1374623718,1374623718,1,1,0
10559879@N00,112,9,1374753044,1374753044,1,1,0
10559879@N00,113,84,1375443842,1375443842,1,1,0
10559879@N00,114,10,1376384054,1376384602,4,1,548
10559879@N00,115,22,1376880380,1376881115,3,1,735
10559879@N00,116,22,1376967987,1376967987,1,2,0
10559879@N00,116,82,1376951876,1376952086,3,2,210
10559879@N00,117,84,1377212608,1377212885,2,1,277
10559879@N00,118,22,1377484605,1377484605,1,1,0
10559879@N00,119,84,1377829131,1377829131,1,1,0
10559879@N00,120,4,1378348080,1378348103,2,2,23
10559879@N00,120,15,1378332967,1378332967,1,2,0
