userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
10007579@N00,1,30,1346844688,1346844688,1,1,0
10012675@N05,2,6,1142731848,1142732445,4,1,597
10012675@N05,3,6,1142916492,1142916492,1,1,0
10012675@N05,4,13,1319327174,1319332848,9,1,5674
10014440@N06,5,24,1196128621,1196128878,3,1,257
10014440@N06,6,23,1198051767,1198052832,12,1,1065
10014440@N06,7,23,1198627025,1198627598,5,1,573
10014440@N06,8,23,1206164087,1206165702,10,2,1615
10014440@N06,8,24,1206168673,1206170032,16,2,1359
10014440@N06,9,24,1214890166,1214890462,6,1,296
10014440@N06,10,25,1215592158,1215600149,82,1,7991
10014440@N06,11,17,1220231631,1220263113,283,1,31482
10014440@N06,12,24,1221900500,1221900536,3,1,36
10014440@N06,13,23,1222562726,1222563147,2,1,421
10014440@N06,14,24,1223185528,1223185867,6,1,339
10014440@N06,15,4,1296787058,1296787058,1,1,0
10014440@N06,16,24,1298829412,1298829412,1,1,0
10031363@N00,17,7,1117944001,1117944085,4,1,84
10031363@N00,18,22,1136768686,1136768686,1,1,0
10031363@N00,19,21,1146572943,1146572943,1,1,0
10031363@N00,20,25,1151017445,1151017445,1,1,0
10031363@N00,21,3,1168261752,1168261752,1,1,0
10031363@N00,22,21,1176558895,1176558895,1,1,0
10031363@N00,23,25,1193743477,1193743477,1,1,0
10116041@N02,24,22,1316434915,1316434915,1,1,0
10116041@N02,25,22,1316517548,1316517548,1,1,0
10116041@N02,26,22,1317177127,1317177127,1,1,0
10125851@N06,27,11,1288144203,1288144203,1,1,0
10125851@N06,28,21,1361575441,1361575441,1,1,0
101330524@N02,29,25,1221651765,1221651765,1,1,0
101607720@N06,30,30,1364183074,1364183114,3,1,40
10218635@N06,31,26,1300499814,1300499814,1,1,0
10218635@N06,32,23,1327067338,1327067338,1,1,0
10218635@N06,33,21,1361155807,1361155807,2,2,0
10218635@N06,33,25,1361158664,1361162713,2,2,4049
10282509@N00,34,30,1235274222,1235274222,1,1,0
10282509@N00,35,11,1395549706,1395551517,11,1,1811
10285309@N08,36,1,1281783875,1281795556,8,1,11681
10297518@N00,37,11,1372302213,1372311245,2,1,9032
10316646@N07,38,6,1379577453,1379577453,1,1,0
10316646@N07,39,22,1382225714,1382225714,1,1,0
10316646@N07,40,6,1383644442,1383644442,1,1,0
10316646@N07,41,6,1383899070,1383899205,2,1,135
10316646@N07,42,6,1384205119,1384205119,1,1,0
10316646@N07,43,23,1384501186,1384501186,1,1,0
10316646@N07,44,6,1384601670,1384601670,1,1,0
10316646@N07,45,6,1384684946,1384684946,1,1,0
10316646@N07,46,3,1394077414,1394077414,1,1,0
10397950@N05,47,16,1197782986,1197782986,1,1,0
10438912@N07,48,13,1318218173,1318218173,1,1,0
10438912@N07,49,22,1326853744,1326853744,1,1,0
10438912@N07,50,11,1329529298,1329529298,1,1,0
10442345@N07,51,6,1263978711,1263978711,1,1,0
10483331@N00,52,7,1277172576,1277172576,1,1,0
10488448@N00,53,25,1225188527,1225188527,1,1,0
10488448@N00,54,25,1239890400,1239890400,2,1,0
10488448@N00,55,25,1248600075,1248600075,1,1,0
10488855@N00,56,28,1380847008,1380847372,2,1,364
10502709@N05,57,7,1180696282,1180702766,7,1,6484
10502709@N05,58,7,1180745959,1180751261,3,3,5302
10502709@N05,58,11,1180762851,1180762851,1,3,0
10502709@N05,58,27,1180764267,1180764509,2,3,242
10502709@N05,59,11,1180812368,1180812474,3,2,106
10502709@N05,59,27,1180812942,1180814296,8,2,1354
10502709@N05,60,7,1180869592,1180873331,11,1,3739
10502709@N05,61,7,1180970899,1180970899,1,1,0
10502709@N05,62,11,1195019281,1195022329,7,1,3048
10502709@N05,63,21,1196072277,1196072277,1,1,0
10502709@N05,64,25,1199617917,1199617917,1,1,0
10502709@N05,65,25,1200558479,1200558479,1,1,0
10502709@N05,66,21,1202295248,1202296359,3,1,1111
10502709@N05,67,22,1211647414,1211649578,3,3,2164
10502709@N05,67,23,1211641612,1211646745,5,3,5133
10502709@N05,67,28,1211634164,1211651552,4,3,17388
10502709@N05,68,21,1245923243,1245923243,1,1,0
10502709@N05,69,7,1251252536,1251257966,32,1,5430
10502709@N05,70,21,1254556987,1254566583,2,1,9596
10502709@N05,71,21,1255754920,1255754920,1,4,0
10502709@N05,71,22,1255753089,1255753089,1,4,0
10502709@N05,71,23,1255754148,1255754148,1,4,0
10502709@N05,71,28,1255753362,1255753697,3,4,335
10502709@N05,72,27,1275722248,1275722248,1,1,0
10502709@N05,73,25,1278132432,1278148208,4,1,15776
10502709@N05,74,27,1278735804,1278740426,6,1,4622
10502709@N05,75,6,1280045552,1280045552,1,2,0
10502709@N05,75,25,1280034591,1280038977,19,2,4386
10504927@N08,76,23,1372884918,1372884918,1,1,0
10517457@N04,77,12,1215220255,1215221421,13,1,1166
10563628@N04,78,16,1119257993,1119260570,7,1,2577
10575698@N02,79,25,1317507816,1317511370,24,1,3554
10575698@N02,80,13,1352288471,1352288471,1,1,0
10575698@N02,81,13,1352442667,1352442667,1,1,0
10575698@N02,82,21,1356932945,1356932945,1,1,0
10575698@N02,83,13,1362197896,1362204065,13,1,6169
10575698@N02,84,30,1362783809,1362783809,1,1,0
10575698@N02,85,28,1367032017,1367032017,1,1,0
10575698@N02,86,27,1369454954,1369454954,1,1,0
10575698@N02,87,28,1370679140,1370679140,1,1,0
10575698@N02,88,24,1370767529,1370767529,1,1,0
10602166@N06,89,11,1350950124,1350967515,4,1,17391
10602166@N06,90,30,1351033156,1351033156,1,1,0
10627620@N06,91,27,1180149996,1180150007,2,1,11
10627620@N06,92,21,1220689693,1220689744,8,1,51
10627620@N06,93,28,1256386348,1256386348,1,1,0
10627620@N06,94,11,1274660608,1274661138,3,1,530
10627620@N06,95,21,1277191377,1277191377,1,1,0
10627620@N06,96,21,1288928262,1288928262,1,1,0
10627620@N06,97,8,1320763952,1320764615,151,1,663
10627620@N06,98,3,1322875579,1322878568,27,1,2989
10627620@N06,99,3,1331605212,1331605212,1,3,0
10627620@N06,99,23,1331610248,1331610377,2,3,129
10627620@N06,99,27,1331612583,1331612583,1,3,0
10627620@N06,100,21,1332543210,1332543396,4,3,186
10627620@N06,100,23,1332546123,1332546308,2,3,185
10627620@N06,100,30,1332553614,1332556920,25,3,3306
10627620@N06,101,6,1333504966,1333504966,1,1,0
10627620@N06,102,23,1333922515,1333922585,2,2,70
10627620@N06,102,30,1333930354,1333930354,1,2,0
10627620@N06,103,7,1335066198,1335066632,4,2,434
10627620@N06,103,30,1335065858,1335067358,7,2,1500
10627620@N06,104,23,1335652379,1335652379,1,2,0
10627620@N06,104,30,1335653410,1335673404,59,2,19994
10627620@N06,105,21,1336614578,1336614578,1,2,0
10627620@N06,105,30,1336609219,1336609219,1,2,0
10627620@N06,106,30,1336730190,1336730211,2,1,21
10627620@N06,107,30,1336874413,1336874413,1,1,0
10627620@N06,108,7,1338083147,1338083199,3,1,52
10627620@N06,109,25,1340341213,1340341505,3,1,292
10627620@N06,110,7,1343546753,1343546767,2,1,14
10627620@N06,111,1,1344047684,1344049407,25,2,1723
10627620@N06,111,30,1344047320,1344047505,3,2,185
10627620@N06,112,30,1345789395,1345790139,5,1,744
10627620@N06,113,7,1346500090,1346500175,4,2,85
10627620@N06,113,30,1346499139,1346500262,3,2,1123
10647023@N04,114,20,1367819743,1367819743,1,1,0
10789562@N08,115,1,1327123816,1327123816,1,1,0
10789562@N08,116,4,1338613741,1338613741,1,1,0
10789562@N08,117,17,1345204454,1345204454,1,1,0
10789562@N08,118,30,1349948601,1349949337,2,1,736
10789562@N08,119,8,1357196978,1357196978,1,1,0
10789562@N08,120,1,1358806253,1358806253,1,1,0
10789562@N08,121,30,1360276518,1360276699,2,1,181
10789562@N08,122,4,1366104244,1366104244,1,1,0
10789562@N08,123,8,1366147272,1366147272,1,1,0
10789562@N08,124,1,1367382115,1367382115,1,1,0
10789562@N08,125,7,1375234591,1375236381,2,1,1790
10789562@N08,126,22,1377044846,1377045110,2,1,264
10789562@N08,127,8,1378281875,1378281875,1,1,0
10789562@N08,128,11,1385813481,1385813481,1,1,0
10859651@N06,129,7,1237761258,1237761273,3,1,15
10891813@N04,130,28,1283243042,1283243608,2,1,566
11036650@N00,131,15,1249263619,1249265452,2,1,1833
11036650@N00,132,13,1249344360,1249344582,4,1,222
11090433@N05,133,18,1207201884,1207201884,1,1,0
11090433@N05,134,3,1214566807,1214582660,6,1,15853
11090433@N05,135,3,1214634858,1214634858,1,1,0
11090433@N05,136,3,1214668014,1214668491,5,1,477
11090433@N05,137,15,1217227389,1217227409,2,1,20
11090433@N05,138,7,1219401654,1219401684,2,1,30
11090433@N05,139,3,1223126698,1223126959,6,4,261
11090433@N05,139,22,1223129228,1223170932,8,4,41704
11090433@N05,139,23,1223128760,1223128905,5,4,145
11090433@N05,139,30,1223140871,1223162520,10,4,21649
11090433@N05,140,17,1242543612,1242543612,1,1,0
11090433@N05,141,10,1244955430,1244957432,10,1,2002
11090433@N05,142,3,1246033190,1246033214,2,1,24
11090433@N05,143,3,1246170400,1246184831,3,1,14431
11090433@N05,144,14,1252130443,1252130443,1,1,0
11090433@N05,145,3,1256995257,1256995257,1,1,0
11090433@N05,146,1,1263783828,1263783828,1,1,0
11090433@N05,147,3,1278132745,1278132784,2,1,39
11090433@N05,148,3,1278233666,1278233666,1,1,0
11090433@N05,149,2,1283229134,1283229261,2,2,127
11090433@N05,149,17,1283231960,1283231960,1,2,0
11191102@N07,150,28,1300259639,1300259639,1,1,0
11191102@N07,151,13,1316838416,1316838416,1,1,0
11191102@N07,152,22,1317476700,1317476700,1,1,0
11191102@N07,153,16,1325830531,1325830531,1,1,0
11191102@N07,154,18,1331442068,1331442068,1,1,0
11191102@N07,155,4,1359157949,1359157949,1,3,0
11191102@N07,155,16,1359156533,1359157638,5,3,1105
11191102@N07,155,22,1359177182,1359177573,2,3,391
11191102@N07,156,6,1364456719,1364457017,2,1,298
11191102@N07,157,11,1369454965,1369454965,1,3,0
11191102@N07,157,23,1369453726,1369453726,1,3,0
11191102@N07,157,27,1369445048,1369460177,7,3,15129
11191102@N07,158,1,1376121221,1376121221,1,2,0
11191102@N07,158,15,1376099461,1376100028,2,2,567
11191102@N07,159,7,1376362594,1376362594,1,1,0
11191102@N07,160,13,1376566497,1376566497,1,1,0
11191102@N07,161,16,1377225369,1377225369,1,1,0
11191102@N07,162,7,1387003156,1387003795,6,3,639
11191102@N07,162,22,1387007295,1387008510,3,3,1215
11191102@N07,162,30,1387004413,1387004413,1,3,0
11191102@N07,163,23,1388973233,1388973255,2,1,22
11191102@N07,164,11,1392436977,1392437137,2,2,160
11191102@N07,164,29,1392420996,1392422221,4,2,1225
11211909@N00,165,7,1348042674,1348042679,3,1,5
11241023@N03,166,7,1190171771,1190174968,31,3,3197
11241023@N03,166,22,1190180725,1190180739,2,3,14
11241023@N03,166,28,1190181054,1190185237,5,3,4183
11241023@N03,167,22,1197604160,1197604641,11,1,481
11293226@N05,168,19,1346397078,1346397078,1,1,0
11349639@N00,169,4,1148917453,1148917453,1,3,0
11349639@N00,169,16,1148917293,1148917293,1,3,0
11349639@N00,169,30,1148917698,1148917698,1,3,0
11349639@N00,170,8,1148964962,1148964962,1,1,0
11349639@N00,171,22,1149523223,1149523496,3,2,273
11349639@N00,171,28,1149520989,1149523299,2,2,2310
11349639@N00,172,8,1155460279,1155460279,1,1,0
