187-21480	1	0	18	
205-23354	9	1	7	
187-21486	1	0	18	
321-35723	16	1	9	1	
321-35722	1	16	16	
321-35725	16	1	9	
257-28597	5	5	2	
353-39412	14	3	3	10	
151-17418	15	7	4	
288-32428	0	17	1	1	
151-17411	7	1	1	7	
162-18806	25	20	20	25	
192-22008	22	24	9	
203-23260	5	4	6	
203-23263	5	2	2	
338-37598	3	3	0	
192-22004	5	19	3	
55-6316	0	10	0	
251-28049	7	20	6	
135-15393	3	12	12	3	
117-13773	8	1	1	
336-37434	1	9	14	
29-3680	2	20	2	
117-13779	6	20	20	
8-788	4	1	19	
118-13805	28	2	2	1	
118-13806	1	4	17	0	10	26	28	
65-7834	3	0	5	
163-18882	0	28	18	
134-15360	9	1	0	
302-34017	0	6	12	
288-32417	0	1	9	1	
113-13048	12	0	0	
396-44060	21	7	3	
117-13783	1	1	6	
396-44109	2	25	3	
284-31715	0	1	1	
51-5874	17	0	15	
365-40845	2	0	0	
336-37393	1	3	0	
36-4372	3	3	15	
159-18400	4	1	3	
43-4908	22	6	1	
63-7408	0	10	10	4	
227-25674	0	3	15	
227-25678	1	17	4	
385-42788	4	1	9	
235-26451	9	9	1	
385-42786	23	4	1	
385-42781	0	2	0	0	10	
14-1494	1	1	21	
196-22454	7	1	17	
30-3739	15	0	0	
195-22360	1	2	11	
196-22452	3	17	4	7	
12-1275	1	1	9	1	
113-12997	0	2	12	
12-1277	21	1	9	
30-3731	15	3	14	14	15	
12-1270	7	1	9	
12-1273	1	8	9	
113-12991	25	8	4	0	
293-32875	4	15	15	
243-27221	27	24	22	
18-2243	1	9	10	
342-37981	14	3	3	0	
68-8190	0	25	4	1	
29-3545	3	3	0	
243-27223	1	24	22	
35-4137	0	17	0	
289-32514	20	6	23	
289-32515	23	6	1	
26-3077	3	3	2	
102-11773	22	0	0	1	9	22	
26-3075	3	2	3	
26-3072	3	27	21	27	0	0	
130-14983	28	0	15	
196-22535	0	1	4	
196-22532	17	1	7	
161-18553	0	0	6	
282-31521	2	1	0	
250-27889	1	1	6	
30-3748	15	3	0	
30-3747	2	25	4	
285-31914	28	0	3	
324-36006	2	1	3	
30-3741	15	0	0	
83-9524	3	15	15	3	
396-44093	3	25	6	12	
196-22433	7	1	17	
187-21600	3	9	3	
35-4142	0	2	11	
289-32519	7	1	29	
277-30964	1	8	12	
21-2519	1	9	1	
13-1352	10	14	14	
227-25695	2	3	15	
227-25694	15	2	11	
43-4884	24	6	1	
21-2620	1	1	15	
124-14432	7	7	9	
284-31681	0	17	1	
196-22508	1	1	25	
147-17030	14	1	1	15	
365-40796	23	0	10	
113-13009	12	6	0	
45-5035	1	9	21	
339-37659	0	12	12	0	
230-25971	10	17	1	
113-13004	0	2	12	
126-14577	6	1	9	
151-17465	0	17	1	
151-17463	7	1	7	
151-17462	15	7	1	9	1	7	
241-26960	0	1	1	
36-4335	2	0	0	
203-23251	5	6	2	2	
336-37348	12	1	17	0	
206-23359	0	1	9	4	
365-40902	23	2	0	
254-28315	2	6	5	
146-16892	7	1	1	19	
342-38144	6	6	2	
13-1420	10	14	14	
338-37622	4	17	1	1	6	22	
124-14404	3	3	15	
354-39503	2	0	3	
338-37621	4	1	1	4	
338-37627	25	16	16	
235-26454	1	9	9	
150-17361	22	1	9	17	
359-40117	15	27	4	
338-37619	4	1	1	4	
118-13836	4	1	1	0	
118-13830	0	14	0	1	1	1	4	
244-27236	1	1	22	
361-40260	2	1	9	
68-8146	2	3	3	
65-7867	5	19	3	
302-34046	0	2	2	
325-36187	27	9	7	
201-23093	0	17	1	
18-2048	1	9	10	
18-1965	4	0	10	
227-25783	15	0	2	2	3	7	
119-13923	13	13	13	
113-12975	0	6	12	
96-11178	19	0	2	
113-12979	12	0	0	
76-8967	4	8	8	4	
76-8963	1	1	4	
146-16808	1	9	8	
65-7783	3	3	5	
390-43105	2	3	3	21	
65-7788	4	4	5	
235-26402	1	9	1	1	
86-9746	12	5	5	
86-9748	12	25	25	
196-22403	7	1	17	
285-31898	2	0	0	3	
196-22407	7	1	17	
369-41514	0	0	2	
198-22859	20	2	15	
196-22656	17	1	7	
26-3042	3	2	2	
196-22654	17	1	7	
63-7541	21	1	9	
1-14	1	9	9	1	7	
1-17	7	1	1	
1-13	27	4	0	
289-32523	6	1	7	
